Date,Predicted CPI
2023-10-01,116.5099832
2023-11-01,116.5763293
2023-12-01,116.5845332
2024-01-01,116.6200267
2024-02-01,116.6741153
2024-03-01,116.7304019
2024-04-01,116.8133919
2024-05-01,116.8794388
2024-06-01,116.9248903
2024-07-01,116.9794347
2024-08-01,117.0661598
2024-09-01,117.1730223
2024-10-01,117.275458
2024-11-01,117.387105
2024-12-01,117.4953176
2025-01-01,117.6070998
2025-02-01,117.76916
2025-03-01,117.9624113
2025-04-01,118.1345687
